epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3638.05,3.15852,3.66121,3.85852,0.60839,0.47721,0.51469,0.27532,3.56001,3.43476,3.95067,0.000808389,0.000808389,0.000808389
60,3699.37,3.12434,3.59845,3.82031,0.6414,0.46666,0.51604,0.28682,3.52396,3.40335,3.9426,0.000802208,0.000802208,0.000802208
61,3760.88,3.10852,3.57975,3.83079,0.60276,0.488,0.53326,0.2917,3.52271,3.35472,3.96556,0.000795954,0.000795954,0.000795954
62,3822.69,3.1046,3.51865,3.83114,0.59681,0.49212,0.52308,0.28194,3.56329,3.41647,3.99061,0.000789628,0.000789628,0.000789628
63,3884.7,3.10115,3.51494,3.82028,0.57038,0.50101,0.51326,0.2877,3.53588,3.39392,3.94134,0.000783231,0.000783231,0.000783231
64,3946.18,3.07176,3.5114,3.80227,0.63661,0.48669,0.52858,0.29748,3.54483,3.30827,3.95093,0.000776766,0.000776766,0.000776766
65,4007.71,3.05274,3.46334,3.77226,0.60256,0.48127,0.5182,0.2848,3.58736,3.35661,3.98326,0.000770234,0.000770234,0.000770234
66,4069.24,3.05836,3.38613,3.77352,0.63199,0.49529,0.53337,0.29322,3.50999,3.33281,3.94163,0.000763637,0.000763637,0.000763637
67,4130.66,3.08006,3.45252,3.8085,0.62299,0.4863,0.53245,0.29484,3.50546,3.37971,3.90636,0.000756976,0.000756976,0.000756976
68,4192.16,3.04527,3.37645,3.75746,0.62374,0.50378,0.5314,0.29767,3.51038,3.29522,3.92538,0.000750252,0.000750252,0.000750252
69,4253.69,3.02031,3.33301,3.75204,0.64748,0.48437,0.53667,0.30048,3.50271,3.32966,3.94826,0.000743468,0.000743468,0.000743468
70,4315.16,3.03009,3.33084,3.7636,0.65216,0.48887,0.54102,0.30653,3.55028,3.28473,3.98212,0.000736625,0.000736625,0.000736625
71,4376.67,2.96555,3.19411,3.68077,0.64838,0.50797,0.54587,0.30796,3.50151,3.2126,3.90695,0.000729725,0.000729725,0.000729725
72,4438.34,2.96119,3.19046,3.69421,0.65319,0.48799,0.5466,0.31346,3.46166,3.17182,3.89328,0.00072277,0.00072277,0.00072277
73,4499.91,2.97764,3.26106,3.71959,0.62709,0.5132,0.55382,0.31755,3.50471,3.19843,3.91867,0.000715761,0.000715761,0.000715761
74,4562.05,2.97825,3.21036,3.68377,0.62983,0.50292,0.54349,0.30919,3.44664,3.25209,3.85194,0.0007087,0.0007087,0.0007087
75,4623.81,2.94643,3.16363,3.65892,0.62757,0.50752,0.54549,0.31284,3.46931,3.21956,3.86933,0.000701588,0.000701588,0.000701588
76,4685.39,2.94252,3.17145,3.65597,0.64155,0.49749,0.54771,0.31443,3.45288,3.21652,3.86308,0.000694428,0.000694428,0.000694428
77,4747.22,2.91561,3.10036,3.61864,0.63587,0.51524,0.54585,0.30947,3.47438,3.15525,3.88278,0.000687222,0.000687222,0.000687222
78,4809.24,2.90097,3.06572,3.63245,0.64942,0.51412,0.55741,0.31538,3.49853,3.19679,3.90668,0.00067997,0.00067997,0.00067997
