epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,78760.5,3.05785,4.13576,3.59356,0.44594,0.34978,0.35221,0.20291,3.58141,3.99093,4.04473,0.000214046,0.000214046,0.000214046
107,78823.6,3.08368,4.13942,3.62084,0.44149,0.35665,0.35007,0.20246,3.58416,4.00151,4.07558,0.000205723,0.000205723,0.000205723
108,78887.1,3.06739,4.10072,3.59787,0.44154,0.36047,0.35422,0.20721,3.56123,3.98744,4.03048,0.000197532,0.000197532,0.000197532
109,78950.6,3.044,4.11162,3.5924,0.45251,0.34887,0.34596,0.20058,3.57759,4.00524,4.0443,0.000189475,0.000189475,0.000189475
110,79013.9,3.04881,4.07996,3.5782,0.46225,0.36495,0.34971,0.20152,3.5681,3.99221,4.05069,0.000181557,0.000181557,0.000181557
111,79077.6,3.09117,4.11634,3.62525,0.45327,0.36419,0.3541,0.20634,3.57977,3.94301,4.04888,0.00017378,0.00017378,0.00017378
112,79141.5,3.04617,4.09966,3.60017,0.46208,0.34848,0.34797,0.20314,3.56776,3.97421,4.03902,0.000166149,0.000166149,0.000166149
113,79204.6,3.05869,4.09038,3.5918,0.48487,0.3511,0.35539,0.20708,3.54952,3.94148,4.0342,0.000158667,0.000158667,0.000158667
114,79268.1,3.02991,4.04398,3.57196,0.49362,0.35413,0.36057,0.21044,3.54768,3.91904,4.0208,0.000151336,0.000151336,0.000151336
115,79331.5,3.0291,4.04516,3.57258,0.47111,0.34615,0.35102,0.20705,3.55654,3.94075,4.03577,0.000144161,0.000144161,0.000144161
116,79394.9,3.05571,4.04851,3.5816,0.49162,0.35002,0.35798,0.20816,3.55739,3.93808,4.03001,0.000137143,0.000137143,0.000137143
117,79458.4,3.04241,4.00681,3.57203,0.48679,0.35483,0.36415,0.21475,3.53484,3.88403,4.03146,0.000130287,0.000130287,0.000130287
118,79522,2.99837,4.00747,3.55199,0.45798,0.36453,0.36531,0.21394,3.5218,3.89371,4.00571,0.000123596,0.000123596,0.000123596
119,79585.4,2.99249,3.99869,3.55529,0.48905,0.37046,0.3698,0.21744,3.52369,3.87581,4.00705,0.000117072,0.000117072,0.000117072
120,79648.8,2.98436,3.95837,3.53715,0.47319,0.36337,0.36074,0.21321,3.52537,3.89633,4.00695,0.000110718,0.000110718,0.000110718
121,79712.1,3.01889,4.00194,3.55997,0.47069,0.36778,0.36578,0.21465,3.529,3.8865,4.01052,0.000104537,0.000104537,0.000104537
122,79775.8,3.03307,4.07994,3.5791,0.49456,0.37496,0.37611,0.22136,3.50968,3.8557,3.98139,9.85311e-05,9.85311e-05,9.85311e-05
